action,0
adult,1
adventure,2
animation,3
biography,4
comedy,5
crime,6
documentary,7
drama,8
family,9
fantasy,10
game-show,11
history,12
horror,13
music,14
musical,15
mystery,16
news,17
reality-tv,18
romance,19
sci-fi,20
short,21
sport,22
talk-show,23
thriller,24
war,25
western,26
